x_N2_train,y_N2_train,x_N2_valid,y_N2_valid,x_H2_2.5,y_H2_2.5,x_H2_10,y_H2_10
1.8883074040619308e-07,5578.040607080795,2.305920086405358e-07,6149.168120434508,-6.701290644042534e-08,2694.1441822336055,7.237897852065359e-08,2838.805080254271
1.9166723955317804e-07,9239.898756336886,2.321666507757352e-07,8202.15087896306,-5.010208217572961e-08,4437.554760295374,8.321812257018148e-08,4858.795063259953
1.94503738700163e-07,16324.300235510804,2.3374129291093465e-07,12935.889038302004,-3.319125791103389e-08,7475.106884997076,9.405726661970936e-08,8285.236342786986
1.9734023784714796e-07,28792.321131856414,2.3531593504613406e-07,21425.977088681422,-1.628043364633817e-08,12444.96747219225,1.0489641066923724e-07,13843.44891578448
2.0017673699413293e-07,49638.10259655677,2.368905771813335e-07,35413.24174029101,6.303906183575549e-10,20248.68872142746,1.1573555471876513e-07,22546.895234692376
2.030132361411179e-07,83145.5901902197,2.3846521931653294e-07,57435.15866852272,1.754121488305328e-08,32092.144143843325,1.2657469876829303e-07,35744.013511043915
2.0584973528810285e-07,135099.80270118592,2.4003986145173235e-07,90962.01718941797,3.4452039147748995e-08,49508.0753544592,1.374138428178209e-07,55142.56541407417
2.086862344350878e-07,212867.18427631888,2.4161450358693177e-07,140506.02899061935,5.136286341244472e-08,74345.86338721303,1.4825298686734877e-07,82794.47781134024
2.1152273358207277e-07,325241.3890674361,2.431891457221312e-07,211663.37960417708,6.827368767714045e-08,108714.12605121365,1.5909213091687666e-07,121024.1348960753
2.1435923272905774e-07,481953.21246623225,2.447637878573306e-07,311045.7090401454,8.518451194183616e-08,154865.02801427565,1.6993127496640456e-07,172287.21214500332
2.171957318760427e-07,692777.7506466294,2.4633842999253006e-07,446061.6960067698,1.020953362065319e-07,215016.18568337965,1.8077041901593243e-07,238956.16073728967
2.2003223102302766e-07,966244.1764250025,2.4791307212772947e-07,624523.7106891354,1.1900616047122761e-07,291116.28999669675,1.916095630654603e-07,323041.91490417003
