x_N2_train,y_N2_train,x_N2_valid,y_N2_valid,x_H2_2.5,y_H2_2.5,x_H2_10,y_H2_10
4.426391369970528e-11,21671783.605228424,8.722053638887271e-11,14395414.056807518,-5.17171812902436e-11,9968287.648714751,-3.942176652265614e-11,6277890.755824029
4.616792954291158e-11,56681637.16167545,8.818898235702209e-11,18728395.443945885,-3.3823335346928285e-11,28060083.78585553,-3.036472886770384e-11,12168307.209577441
4.807194538611788e-11,138215471.61257362,8.915742832517147e-11,28173829.700366974,-1.5929489403612976e-11,71925736.97234532,-2.1307691212751542e-11,23282718.015070736
4.9975961229324186e-11,307940874.0219374,9.012587429332084e-11,44192274.77110863,1.964356539702333e-12,166756046.91483653,-1.2250653557799241e-11,43090609.01044083
5.1879977072530485e-11,625942886.3335805,9.109432026147022e-11,68947912.64633274,1.985820248301765e-11,349696159.53361267,-3.193615902846943e-12,76762594.90182471
5.3783992915736783e-11,1162000186.0577044,9.206276622961961e-11,105225468.58243752,3.7752048426332964e-11,663875926.1539991,5.863421752105355e-12,131485854.42337102
5.568800875894308e-11,1973520174.5475197,9.303121219776899e-11,156265110.39712334,5.5645894369648266e-11,1142235551.9742942,1.492045940705766e-11,216532670.15244102
5.759202460214938e-11,3074157503.844988,9.399965816591836e-11,225490701.48353767,7.353974031296358e-11,1783584593.461008,2.3977497062009957e-11,342878874.7121451
5.949604044535569e-11,4407871038.163393,9.496810413406774e-11,316127045.66077137,9.14335862562789e-11,2531884023.172334,3.3034534716962255e-11,522183787.79597455
6.140005628856198e-11,5848473423.30666,9.593655010221712e-11,430732640.062768,1.0932743219959421e-10,3274508367.0069914,4.209157237191455e-11,765039341.4506648
6.330407213176828e-11,7235768125.5092745,9.69049960703665e-11,570709927.9859295,1.2722127814290954e-10,3869061724.51573,5.114861002686685e-11,1078582743.5758514
6.520808797497459e-11,8436772078.483791,9.787344203851587e-11,735885366.976409,1.4511512408622486e-10,4191591911.1392207,6.020564768181915e-11,1463816803.4967096
6.711210381818088e-11,9398898986.970007,9.884188800666526e-11,924265505.9620676,1.6300897002954012e-10,4182942877.767169,6.926268533677146e-11,1913224582.5106611
6.901611966138719e-11,10160685786.544243,9.981033397481464e-11,1132063654.368907,1.8090281597285544e-10,3868307325.9975204,7.831972299172374e-11,2409400660.8536935
7.092013550459348e-11,10810776847.501041,1.0077877994296402e-10,1354052073.3287067,1.9879666191617075e-10,3340831625.6987495,8.737676064667605e-11,2925356364.9898567
7.282415134779978e-11,11421061137.26678,1.0174722591111339e-10,1584233730.7481985,2.1669050785948607e-10,2721485519.600864,9.643379830162834e-11,3426849567.2993846
7.472816719100608e-11,11997916747.29271,1.0271567187926277e-10,1816761395.8924217,2.345843538028014e-10,2118240726.259891,1.0549083595658065e-10,3876588575.0829797
7.663218303421238e-11,12481997810.594944,1.0368411784741215e-10,2046980808.4657388,2.524781997461167e-10,1602108608.6423292,1.1454787361153296e-10,4239603331.480906
7.853619887741869e-11,12792881561.93722,1.0465256381556152e-10,2272456750.4052033,2.70372045689432e-10,1203520785.915187,1.2360491126648525e-10,4488655949.3789425
8.044021472062498e-11,12886445125.78553,1.056210097837109e-10,2493863294.686029,2.8826589163274733e-10,921732213.7814276,1.3266194892143756e-10,4608444632.431665
8.234423056383128e-11,12789356465.408558,1.0658945575186028e-10,2715673748.9662237,3.0615973757606264e-10,737802661.3226831,1.4171898657638984e-10,4597611473.552653
8.424824640703759e-11,12595133832.863047,1.0755790172000966e-10,2946648251.8080034,3.2405358351937796e-10,625497613.8669397,1.5077602423134215e-10,4468130132.146549
8.615226225024388e-11,12432115930.587662,1.0852634768815905e-10,3200156412.5999093,3.4194742946269327e-10,558700678.7383533,1.5983306188629444e-10,4242340567.416072
8.805627809345017e-11,12426732315.021812,1.0949479365630842e-10,3494362320.8242097,3.598412754060086e-10,515832792.8217876,1.6889009954124675e-10,3948484383.5607185
